Wesp;Datum;Waarnemer;Beginuur;Duurtag;Voor/Na;Controle/Impact;WL1;WL2;WL3;averageWL;varWL;WW1;WW2;WW3;averageWW;varWW;ITS1;ITS2;ITS3;averageITS;varITS;0;0.5;1;1.5;2;2.5;3;3.5;4;4.5;5;5.5;6;6.5;7;7.5;8;8.5;9;9.5;10;10.5;11;11.5;12;somv;somk;somr;somw;somg;somb;somalles;percv;perck;percr;percw;percg;percb
Stefano;20/jun;Celien;17:07;3;na;controle;11.07;11.11;11.18;11.12;0.0031;2.67;2.9;2.79;2.79;0.013233333;3.42;3.54;3.54;3.5;0.0048;w;w;k;k;k;k;k;v;k;r;r;r;r;k;k;k;r;r;r;r;k;k;k;k;r;1;13;9;2;0;0;25;0.04;0.52;0.36;0.08;0;0
Martijn;20/jun;Celien;17:07;3;voor;impact;11.76;12.15;12;11.97;0.0387;3.78;3.67;3.65;3.7;0.0049;3.85;3.76;3.7;3.77;0.0057;k;k;k;k;k;k;k;k;k;r;r;k;r;k;k;k;r;r;r;k;k;r;r;r;v;1;15;9;0;0;0;25;0.04;0.6;0.36;0;0;0
Martijn;20/jun;Celien;17:07;3;na;impact;11.76;12.15;12;11.97;0.0387;3.78;3.67;3.65;3.7;0.0049;3.85;3.76;3.7;3.77;0.0057;r;r;r;r;r;r;r;r;r;r;r;k;r;r;r;w;r;r;r;r;r;r;r;r;r;0;1;23;1;0;0;25;0;0.04;0.92;0.04;0;0
Scott;20/jun;Eliane;13:38;5;voor;controle;13.59;14.01;14;13.87;0.057433333;4.28;4.11;4.12;4.17;0.0091;4.14;4.18;4.21;4.18;0.001233333;v;w;w;v;k;k;k;k;r;k;v;k;k;k;k;r;r;r;r;r;r;r;v;k;k;4;11;8;2;0;0;25;0.16;0.44;0.32;0.08;0;0
Scott;20/jun;Eliane;13:38;5;na;controle;13.59;14.01;14;13.87;0.057433333;4.28;4.11;4.12;4.17;0.0091;4.14;4.18;4.21;4.18;0.001233333;k;k;r;r;r;k;r;r;r;r;r;w;v;k;k;r;r;k;k;r;r;r;r;r;r;1;7;16;1;0;0;25;0.04;0.28;0.64;0.04;0;0
Lumiere;20/jun;Eliane;13:38;5;voor;impact;10.62;10.83;10.87;10.77;0.018033333;3.14;3.35;3.3;3.26;0.012033333;3.71;3.75;3.74;3.73;0.000433333;v;v;r;r;k;r;r;r;w;r;k;v;k;k;v;k;k;k;k;v;k;k;k;v;k;6;12;6;1;0;0;25;0.24;0.48;0.24;0.04;0;0
Lumiere;20/jun;Eliane;13:38;5;na;impact;10.62;10.83;10.87;10.77;0.018033333;3.14;3.35;3.3;3.26;0.012033333;3.71;3.75;3.74;3.73;0.000433333;k;r;r;k;r;r;r;w;k;w;w;r;k;k;w;r;k;r;r;r;r;r;r;r;k;0;7;14;4;0;0;25;0;0.28;0.56;0.16;0;0
Gaston;20/jun;Eliane;14:34;3;voor;controle;12.28;12.49;12.39;12.39;0.011033333;3.72;3.68;3.81;3.74;0.004433333;4.06;4.04;4.08;4.06;0.0004;k;k;k;k;k;k;b;k;k;w;w;k;k;k;w;k;k;k;k;k;k;k;k;k;k;0;21;0;3;0;1;25;0;0.84;0;0.12;0;0.04
Gaston;20/jun;Eliane;14:34;3;na;controle;12.28;12.49;12.39;12.39;0.011033333;3.72;3.68;3.81;3.74;0.004433333;4.06;4.04;4.08;4.06;0.0004;v;k;k;w;k;r;w;k;k;k;w;k;k;k;k;k;k;k;k;k;k;v;v;v;k;4;17;1;3;0;0;25;0.16;0.68;0.04;0.12;0;0
Lefou;20/jun;Eliane;14:34;3;voor;impact;11.3;11.25;11.42;11.32;0.007633333;3.3;3.1;3.33;3.24;0.015633333;3.28;3.31;3.37;3.32;0.0021;v;v;k;k;k;k;k;k;k;k;k;k;k;k;k;k;k;v;k;k;k;k;k;k;v;4;21;0;0;0;0;25;0.16;0.84;0;0;0;0
